,author,published,uploaded,likes,text
0,Cezar Lima,2023-10-01T12:51:49Z,2023-10-01T12:51:49Z,1,"olá Diego, poderia me dizer como fico sabendo quais provas farei neste ciclo de avaliações presenciais, já para me preparar melhor."
1,Janny Firminno,2023-06-16T01:25:59Z,2023-06-16T01:25:59Z,1,"Olá, boa noite!<br><br>Gostaria de saber se vocês disponibilizam os materiais didáticos, os livros dos períodos em curso.<br><br> Se sim, poderia enviar aos alunos que estudam na modalidade EAD totalmente online?"
2,Valeria Sousa,2023-05-30T11:06:51Z,2023-05-30T11:06:51Z,1,Obrigada por tudo ❤
