,author,published,uploaded,likes,text
0,miguel,2023-11-25T06:15:14Z,2023-11-25T06:15:14Z,2,A touca dela kkkkkkkkk
1,Higor Fernandes,2023-11-24T13:57:43Z,2023-11-24T13:57:43Z,1,hahahahha muito bom
2,Gabriel Cardoso,2023-11-24T12:10:00Z,2023-11-24T12:10:00Z,1,Kkkkkkkkk
