,author,published,uploaded,likes,text
0,Jorge Pelichek,2023-11-15T09:45:03Z,2023-11-15T09:45:03Z,1,"não vou conseguir realizar a prova optativa, ela tem sub?"
1,Joice Araújo,2023-06-10T21:33:09Z,2023-06-10T21:33:09Z,1,"A avaliação Substitutiva precisa de declaração? Por um imprevisto nao consegui ir fazer... não tenho nada pra comprovar, e agora???"
