,author,published,uploaded,likes,text
0,Wilian Braga Schwartz,2023-11-19T15:30:40Z,2023-11-19T15:30:40Z,0,Esse AVA parece um site dos anos 2000
1,Kelly Ribeiro,2023-02-13T21:25:53Z,2023-02-13T21:25:53Z,1,como eu sei quando sera aula presencial<br>pelo calendario
2,Renato Moraes,2023-02-13T16:34:05Z,2023-02-13T16:34:05Z,1,"Valeu as dicas, me ajudou muito."
3,Alexandra rohrig,2022-09-26T18:53:14Z,2022-09-26T18:53:14Z,1,"Boa tarde querida você precisa fazer portfólio,se precisar encina passo a passo"
4,lucas souza,2022-05-13T13:45:31Z,2022-05-13T13:45:31Z,1,"Oie, você poderia falar sobre o PIM"
5,Fabricia Silva,2022-05-05T16:42:21Z,2022-05-05T16:42:21Z,2,Meu portal é diferente 😣
6,Silvana Amâncio,2022-04-13T00:48:27Z,2022-04-13T00:48:27Z,1,"Obrigada pelos seus vídeos, eles ajudam muito a entender melhor como tudo funciona. Eu vou iniciar este curso 🥰"
7,Ana Beatriz,2022-04-10T17:57:27Z,2022-04-10T17:57:27Z,1,"Olá, gostaria de conversar com você sobre algumas duvidas que eu tenho."
