,author,published,uploaded,likes,text
0,Danieli Rodrigues,2023-06-23T12:17:27Z,2023-06-23T12:17:27Z,0,Ótimo vídeo.
1,Diana Rodrigues,2022-07-26T16:23:07Z,2022-07-26T16:23:07Z,1,"Gosto do conteúdo dos seus vídeos, nos ajuda muito!!"
2,Aline ,2022-07-14T18:10:15Z,2022-07-14T18:10:15Z,1,"Olá, adorei o vídeo e achei bem explicativo (sou estudante da UNIP) , uma dica para deixar o artigo mais completo é colocar o sistema de arredondamento da UNIP, No caso do cálculo sem exame se a média for igual ou superior a 5,7 o sistema arredonda para 6, e no cálculo do exame se a média for igual ou superior a 4,75 arredonda para 5."
