,author,published,uploaded,likes,text
0,Well,2023-07-02T19:48:06Z,2023-07-02T19:48:06Z,0,Deby e loyd
1,Well,2023-07-02T19:45:56Z,2023-07-02T19:45:56Z,0,Unip = impressora de diploma
2,soraia de paula,2023-06-05T20:39:30Z,2023-06-05T20:39:30Z,0,Queria que realmente fosse assim.  Tô penando.
3,Matheus,2023-06-03T16:44:54Z,2023-06-03T16:44:54Z,0,Mano esse apresentador vai ser famoso
4,Matheus,2023-05-21T01:44:08Z,2023-05-21T01:44:08Z,0,Kakakakakakakkakakakakaak
5,Rafael Carvalho,2023-01-08T14:09:07Z,2023-01-08T14:09:07Z,1,Fumaram e comeram q paranga
6,João Ghost,2022-08-08T12:10:28Z,2022-08-08T12:10:28Z,0,Kkk
7,Luan Coelho,2022-05-28T20:27:27Z,2022-07-07T20:48:05Z,13,Quanta bobagem ... Fumaram maconha ?
8,Edson Barros,2022-02-14T17:50:44Z,2022-02-14T17:50:44Z,21,"Pelo tanto de risada, deveria pedir para os pais matriculá-lo no curso pre-escolar."
