,author,published,uploaded,likes,text
0,Ian Lopes Antonello,2023-10-13T17:57:50Z,2023-10-13T17:57:50Z,1,"Acabei de fazer a matrícula online, onde vejo meu R.A?"
1,João Pedro R. N. Araújo,2023-05-10T19:15:54Z,2023-05-10T19:15:54Z,0,"Minha área do aluno só tem Secretaria do aluno, avisos da secretaria e atendimento. Pós entregar todos os documentos eles liberam as aulas?"
2,Lucas Pereira,2023-05-01T00:39:20Z,2023-05-01T00:39:20Z,0,"poderia explicar melhor o calendario, ainda nao consegui entender a dinamica dele"
3,Lilian Gordiano,2023-03-11T22:45:04Z,2023-03-11T22:45:04Z,2,Alguem de contabilidade aqui?
4,Stephanie Monteiro,2023-03-01T10:48:47Z,2023-03-01T10:48:47Z,0,"Esse serviços pago, o prouni tambem oaga?"
