,author,published,uploaded,likes,text
0,Tiago Pirata,2023-06-07T15:07:19Z,2023-06-07T15:07:19Z,2,"Estou sofrendo com essa matéria 😢😢😢 preciso de 20 pontos em uma prova de 45, e ainda estou com medo 😂😂😂😂😂😅😅"
1,Gerusa Araujo,2023-06-01T17:22:21Z,2023-06-01T17:24:14Z,1,OI PROFESSOR ! <br>QUAL O MELHOR LIVRO DE <b>GRAMÁTICA</b> PORTUGUESA ATUALMENTE NA SUA OPINIÃO ??<br>MUITO OBRIGADA ! 🙃🍎❗
2,Augustto junior,2023-02-13T22:59:19Z,2023-02-13T22:59:19Z,0,massa!
3,Giovanna Calcini,2022-12-31T14:28:51Z,2022-12-31T14:28:51Z,2,Onde está a unidade 2?
4,Crislandya Santtos,2022-12-05T21:42:01Z,2022-12-05T21:42:01Z,2,Posta mais vídeos das aulas
