,author,published,uploaded,likes,text
0,Adryene I. Mendonça,2023-11-14T23:13:12Z,2023-11-14T23:13:12Z,0,"Pra mim não aparece, nem pra esse bimestre, nem para os próximos"
1,Gildeane Felix,2023-10-18T17:27:33Z,2023-10-18T17:27:33Z,0,"Estou muito triste com meu curso. comecei no inicio da pandemia e nunca consegui terminar, tenho disciplinas pendentes e pelo q vi são caríssimas !"
2,Eliete Nunes,2023-09-20T00:15:22Z,2023-09-20T00:15:22Z,0,Tenho uma dúvida. Quantas matérias optativas eu preciso pegar e quanto de CH é preciso? Infelizmente meu polo não me respondeu essa questão e eu estou perdida.
3,everson gonçalves,2023-08-28T14:37:38Z,2023-08-28T14:37:38Z,0,Quais eu posso escolher? Sou do Ipiranga UNIP EAD
4,Ellivelton Marques,2023-08-17T13:42:15Z,2023-08-17T13:42:15Z,0,Obrigado pelos esclarecimentos !
5,Caroline Nascimento,2023-02-27T22:19:36Z,2023-02-27T22:19:36Z,1,Unip faz um vídeo sobre documentação de estágios ( atualizados)
